,annee,diplome,etablissement,academie,domaine,discipline,situation,nombre_de_reponses,taux_de_reponse,taux_dinsertion,de_diplomes_boursiers,taux_de_chomage_regional,salaire_net_mensuel_median_regional,long_academie,lat_academie
0,2016.0,MASTER LMD,Avignon,Aix-Marseille,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,32.0,67.0,91.0,45,10.2,1800.0,43.784645619278834,5.356600072667359
1,2016.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé",Sciences de la vie et de la terre,30 mois après le diplôme,31.0,83.0,71.0,45,10.2,1800.0,43.784645619278834,5.356600072667359
2,2017.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Ensemble sciences humaines et sociales,30 mois après le diplôme,258.0,70.0,88.0,33,9.1,1840.0,43.784645619278834,5.356600072667359
3,2017.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Autres sciences humaines et sociales,30 mois après le diplôme,66.0,71.0,88.0,33,9.1,1840.0,43.784645619278834,5.356600072667359
4,2017.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences fondamentales,30 mois après le diplôme,50.0,73.0,92.0,33,9.1,1840.0,43.784645619278834,5.356600072667359
5,2017.0,MASTER LMD,Avignon,Aix-Marseille,Sciences humaines et sociales,Ensemble sciences humaines et sociales,30 mois après le diplôme,51.0,82.0,89.0,46,9.1,1840.0,43.784645619278834,5.356600072667359
6,2017.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",30 mois après le diplôme,60.0,86.0,88.0,46,9.1,1840.0,43.784645619278834,5.356600072667359
7,2010.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Lettres, langues, arts","Lettres, langues, arts",30 mois après le diplôme,140.0,76.0,82.0,29,11.7,1750.0,43.784645619278834,5.356600072667359
8,2010.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",30 mois après le diplôme,402.0,76.0,87.0,29,11.7,1750.0,43.784645619278834,5.356600072667359
9,2010.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé","Autres sciences, technologies et santé",30 mois après le diplôme,84.0,81.0,90.0,29,11.7,1750.0,43.784645619278834,5.356600072667359
10,2011.0,MASTER ENS,Aix-Marseille,Aix-Marseille,Masters enseignement,Masters enseignement : premier degré,30 mois après le diplôme,222.0,77.0,93.0,29,11.2,1730.0,43.784645619278834,5.356600072667359
11,2011.0,MASTER ENS,Aix-Marseille,Aix-Marseille,Masters enseignement,"Masters enseignement : second degré, CPE...",30 mois après le diplôme,120.0,72.0,98.0,29,11.2,1730.0,43.784645619278834,5.356600072667359
12,2011.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Droit,30 mois après le diplôme,171.0,72.0,86.0,29,11.2,1730.0,43.784645619278834,5.356600072667359
